localdatetime,icon,summary,precip,temp,time,uv,wind
2019-04-18-03-22-46,b'cloudy',0,Overcast,52.05,1555572166,0,3.98
2019-04-15-04-41-19,b'rain',1,Rain,65.08,1555317679,0,12.31
2019-04-18-15-38-00,b'partly-cloudy-day',0,Mostly Cloudy,58.61,1555616280,3,7
2019-04-17-03-32-17,b'cloudy',0.31,Overcast,50.2,1555486337,0,4.42
2019-04-16-23-42-12,b'rain',1,Light Rain,55.67,1555472532,0,7.71
2019-04-19-15-04-59,b'partly-cloudy-day',0,Mostly Cloudy,76.02,1555700699,4,11.12
2019-04-16-05-46-51,b'clear-night',0,Clear,44.54,1555408011,0,8.78
2019-04-16-18-57-06,b'clear-day',0,Clear,63.52,1555455426,0,10.28
2019-04-18-07-07-50,b'cloudy',0,Overcast,51.14,1555585670,0,6.11
2019-04-17-02-27-16,b'rain',1,Rain,50.76,1555482436,0,5.68
2019-04-17-20-47-38,b'partly-cloudy-night',0,Mostly Cloudy,51.32,1555548458,0,6.62
2019-04-18-08-32-52,b'cloudy',0,Overcast,53.26,1555590772,1,7.43
2019-04-18-17-53-03,b'partly-cloudy-day',0,Mostly Cloudy,59.84,1555624383,1,4.78
2019-04-17-02-37-16,b'rain',1,Drizzle,50.57,1555483036,0,5.7
2019-04-18-15-33-00,b'partly-cloudy-day',0,Mostly Cloudy,58.11,1555615980,3,6.1
2019-04-16-18-22-06,b'clear-day',0,Clear,64.79,1555453326,0,11.02
2019-04-18-00-02-41,b'cloudy',0.87,Overcast,51.07,1555560161,0,3.57
2019-04-18-06-02-49,b'partly-cloudy-night',0,Mostly Cloudy,51.41,1555581769,0,5.05
2019-04-16-12-21-59,b'clear-day',0,Clear,58.56,1555431719,7,12.94
2019-04-16-22-27-11,b'partly-cloudy-night',0,Mostly Cloudy,56.9,1555468031,0,8.41
2019-04-18-02-32-44,b'cloudy',0,Overcast,51.76,1555569164,0,3.72
2019-04-18-13-02-57,b'cloudy',0,Overcast,54.12,1555606977,4,4.77
2019-04-17-18-12-34,b'partly-cloudy-day',0,Partly Cloudy,57.42,1555539154,0,8.63
2019-04-18-10-22-54,b'cloudy',0,Overcast,53.2,1555597374,3,7.22
2019-04-17-11-57-27,b'partly-cloudy-day',0,Mostly Cloudy,58.2,1555516647,4,4.37
2019-04-17-19-27-36,b'partly-cloudy-day',0,Partly Cloudy,53.3,1555543656,0,7.83
2019-04-15-10-11-26,b'clear-day',0,Clear,61.33,1555337486,4,6.96
2019-04-16-04-26-50,b'clear-night',0,Clear,44.42,1555403210,0,6.96
2019-04-19-07-34-49,b'partly-cloudy-day',0,Mostly Cloudy,62.7,1555673689,0,7.4
2019-04-18-05-02-47,b'partly-cloudy-night',0,Mostly Cloudy,51.45,1555578167,0,4.29
2019-04-19-00-14-41,b'partly-cloudy-night',0,Partly Cloudy,55.1,1555647281,0,3.34
2019-04-15-09-31-26,b'partly-cloudy-day',0,Partly Cloudy,62.09,1555335086,2,7.39
2019-04-17-05-32-20,b'cloudy',0.23,Overcast,48.44,1555493540,0,4.08
2019-04-17-21-32-38,b'partly-cloudy-night',0,Mostly Cloudy,50.9,1555551158,0,5.7
2019-04-18-09-47-53,b'cloudy',0,Overcast,53.63,1555595273,2,7.2
2019-04-16-23-27-12,b'rain',1,Drizzle,56.15,1555471632,0,7.72
2019-04-18-15-13-00,b'partly-cloudy-day',0,Mostly Cloudy,56.99,1555614780,4,6.26
2019-04-18-01-42-43,b'partly-cloudy-night',0.65,Mostly Cloudy,51.45,1555566163,0,6.4
2019-04-17-19-17-36,b'partly-cloudy-day',0,Partly Cloudy,53.77,1555543056,0,7.95
2019-04-18-02-52-45,b'cloudy',0,Overcast,51.74,1555570365,0,3.84
2019-04-16-16-02-03,b'clear-day',0,Clear,65.11,1555444923,3,10.44
2019-04-14-22-36-12,b'cloudy',0.05,Overcast,59.72,1555295772,0,4.53
2019-04-18-10-42-54,b'cloudy',0,Overcast,53.3,1555598574,3,7.39
2019-04-17-19-52-36,b'partly-cloudy-night',0,Partly Cloudy,51.83,1555545156,0,7.34
2019-04-17-18-17-34,b'partly-cloudy-day',0,Partly Cloudy,57.13,1555539454,0,8.64
